
Frequency results for run id=2644
=======================================
Freq MHz       R ohm       X ohm        SWR
  26.965       37.50       -4.94      1.362
  26.975       37.75       -4.67      1.351
  26.985       38.00       -4.40      1.339
  26.995       38.25       -4.13      1.328
  27.005       38.50       -3.86      1.317
  27.015       38.75       -3.58      1.307
  27.025       39.01       -3.31      1.296
  27.035       39.26       -3.03      1.286
  27.045       39.52       -2.76      1.275
  27.055       39.78       -2.48      1.265
  27.065       40.05       -2.20      1.255
  27.075       40.32       -1.92      1.245
  27.085       40.59       -1.64      1.236
  27.095       40.86       -1.36      1.226
  27.105       41.14       -1.07      1.217
  27.115       41.42       -0.79      1.208
  27.125       41.71       -0.50      1.199
  27.135       42.00       -0.22      1.191
  27.145       42.29        0.07      1.182
  27.155       42.59        0.36      1.174
  27.165       42.89        0.65      1.166
  27.175       43.20        0.94      1.159
  27.185       43.52        1.23      1.152
  27.195       43.84        1.52      1.145
  27.205       44.16        1.82      1.139
  27.215       44.50        2.11      1.133
  27.225       44.83        2.41      1.128
  27.235       45.18        2.70      1.123
  27.245       45.53        3.00      1.119
  27.255       45.89        3.29      1.116
  27.265       46.26        3.59      1.114
  27.275       46.64        3.89      1.112
  27.285       47.02        4.18      1.112
  27.295       47.41        4.48      1.112
  27.305       47.82        4.77      1.113
  27.315       48.23        5.07      1.115
  27.325       48.65        5.36      1.119
  27.335       49.09        5.66      1.123
  27.345       49.53        5.95      1.127
  27.355       49.99        6.24      1.133
  27.365       50.45        6.52      1.139
  27.375       50.93        6.81      1.146
  27.385       51.43        7.09      1.153
  27.395       51.93        7.37      1.161
  27.405       52.45        7.65      1.170
