
Frequency results for run id=2200
=======================================
Freq MHz       R ohm       X ohm        SWR
  26.965       36.82       -5.76      1.396
  26.975       37.04       -5.48      1.385
  26.985       37.26       -5.21      1.374
  26.995       37.49       -4.93      1.363
  27.005       37.72       -4.65      1.352
  27.015       37.94       -4.37      1.341
  27.025       38.17       -4.09      1.330
  27.035       38.41       -3.80      1.320
  27.045       38.64       -3.52      1.310
  27.055       38.88       -3.23      1.299
  27.065       39.12       -2.94      1.289
  27.075       39.36       -2.65      1.280
  27.085       39.60       -2.36      1.270
  27.095       39.85       -2.06      1.260
  27.105       40.10       -1.77      1.251
  27.115       40.36       -1.47      1.242
  27.125       40.62       -1.17      1.233
  27.135       40.88       -0.86      1.224
  27.145       41.15       -0.56      1.216
  27.155       41.42       -0.25      1.207
  27.165       41.70        0.05      1.199
  27.175       41.98        0.36      1.191
  27.185       42.27        0.67      1.184
  27.195       42.56        0.99      1.176
  27.205       42.86        1.30      1.170
  27.215       43.16        1.62      1.163
  27.225       43.48        1.93      1.157
  27.235       43.79        2.25      1.151
  27.245       44.12        2.58      1.146
  27.255       44.45        2.90      1.142
  27.265       44.79        3.22      1.138
  27.275       45.14        3.55      1.135
  27.285       45.50        3.87      1.132
  27.295       45.87        4.20      1.131
  27.305       46.24        4.52      1.130
  27.315       46.63        4.85      1.130
  27.325       47.02        5.18      1.131
  27.335       47.43        5.51      1.133
  27.345       47.85        5.84      1.136
  27.355       48.28        6.17      1.139
  27.365       48.72        6.49      1.143
  27.375       49.17        6.82      1.148
  27.385       49.64        7.15      1.154
  27.395       50.12        7.47      1.161
  27.405       50.62        7.79      1.168
