gap,band_max,bw15_khz,bw20_khz,n_dips,dip_freqs
8,173.02,0,0,3,25.68;27.53;28.78
10,127.5,0,0,3,25.72;27.43;28.70
12,89.44,0,0,3,25.76;27.33;28.64
14,61.56,0,0,3,25.80;27.25;28.60
16,42.28,0,20,3,25.84;27.17;28.58
18,29.54,0,40,3,25.88;27.09;28.58
20,20.77,0,40,3,25.92;27.03;28.56
22,15.01,0,40,4,25.98;26.95;28.56;28.94
24,10.99,0,20,4,26.03;26.89;28.56;28.96
26,8.09,0,80,4,26.09;26.83;28.56;28.98
28,6.29,0,121,4,26.13;26.79;28.58;28.98
30,5.8,0,141,3,26.19;26.73;28.58
32,6.37,0,161,3,26.25;26.69;28.60
34,7.03,0,201,3,26.33;26.67;28.60
36,7.78,0,221,3,26.39;26.63;28.62
38,8.63,0,281,3,26.47;26.63;28.62
40,9.56,0,322,3,26.55;26.65;28.64
