de_len,ref_len,xf_gap,cp_gap,band_max,bw15_khz,bw20_khz,gain_dbi,fb_db
216.0,220.0,13.0,28.0,81.39,0,0,14.32,16.8
216.0,220.0,13.0,22.0,84.49,0,0,14.3,16.44
216.0,220.0,13.0,16.0,88.75,101,202,14.3,16.31
216.0,220.0,9.0,28.0,146.28,0,0,14.28,16.84
216.0,220.0,9.0,22.0,150.87,0,0,14.27,16.51
216.0,220.0,9.0,16.0,156.65,51,152,14.26,16.38
216.0,226.0,13.0,28.0,189.54,0,0,0.0,0.0
216.0,226.0,13.0,22.0,191.73,0,0,0.0,0.0
216.0,226.0,13.0,16.0,194.55,101,202,0.0,0.0
220.0,226.0,13.0,28.0,203.29,0,0,0.0,0.0
216.0,220.0,5.5,28.0,207.71,0,0,0.0,0.0
216.0,220.0,5.5,22.0,208.94,0,0,0.0,0.0
216.0,226.0,9.0,28.0,210.94,0,0,0.0,0.0
216.0,220.0,5.5,16.0,211.02,0,101,0.0,0.0
220.0,226.0,9.0,28.0,213.94,0,0,0.0,0.0
216.0,226.0,9.0,22.0,214.97,0,0,0.0,0.0
216.0,226.0,9.0,16.0,219.32,51,152,0.0,0.0
220.0,226.0,5.5,28.0,223.85,0,0,0.0,0.0
220.0,220.0,13.0,28.0,225.09,0,0,0.0,0.0
220.0,226.0,13.0,16.0,226.46,0,0,0.0,0.0
220.0,220.0,13.0,16.0,232.17,0,0,0.0,0.0
216.0,226.0,5.5,28.0,232.28,0,0,0.0,0.0
216.0,226.0,5.5,22.0,234.04,0,0,0.0,0.0
220.0,226.0,13.0,22.0,235.27,0,0,0.0,0.0
216.0,226.0,5.5,16.0,236.26,0,101,0.0,0.0
220.0,220.0,9.0,28.0,237.43,0,0,0.0,0.0
220.0,226.0,9.0,16.0,239.99,0,0,0.0,0.0
220.0,220.0,9.0,16.0,246.15,0,0,0.0,0.0
220.0,220.0,5.5,28.0,246.16,0,0,0.0,0.0
220.0,226.0,9.0,22.0,247.32,0,0,0.0,0.0
220.0,220.0,13.0,22.0,252.62,0,0,0.0,0.0
224.0,226.0,13.0,28.0,255.75,0,0,0.0,0.0
220.0,226.0,5.5,16.0,256.71,0,0,0.0,0.0
220.0,226.0,5.5,22.0,257.28,0,0,0.0,0.0
220.0,220.0,5.5,16.0,263.53,0,0,0.0,0.0
224.0,226.0,9.0,28.0,264.79,0,0,0.0,0.0
220.0,220.0,9.0,22.0,265.93,0,0,0.0,0.0
224.0,226.0,5.5,28.0,266.41,0,0,0.0,0.0
220.0,220.0,5.5,22.0,276.49,0,0,0.0,0.0
224.0,220.0,13.0,28.0,302.2,0,0,0.0,0.0
224.0,220.0,5.5,28.0,312.23,0,0,0.0,0.0
224.0,220.0,9.0,28.0,312.92,0,0,0.0,0.0
224.0,226.0,13.0,22.0,327.06,0,0,0.0,0.0
224.0,226.0,5.5,22.0,330.25,0,0,0.0,0.0
224.0,226.0,9.0,22.0,334.64,0,0,0.0,0.0
224.0,220.0,5.5,22.0,379.56,0,0,0.0,0.0
224.0,220.0,13.0,22.0,380.33,0,0,0.0,0.0
224.0,220.0,9.0,22.0,388.43,0,0,0.0,0.0
224.0,226.0,5.5,16.0,418.46,0,0,0.0,0.0
224.0,226.0,13.0,16.0,426.9,0,304,0.0,0.0
224.0,226.0,9.0,16.0,431.81,0,0,0.0,0.0
224.0,220.0,5.5,16.0,465.53,0,0,0.0,0.0
224.0,220.0,13.0,16.0,480.9,0,253,0.0,0.0
224.0,220.0,9.0,16.0,484.89,0,0,0.0,0.0
